Lunch Category,Main Dish / Ingredients,Snack 1 (Fruit),Snack 2 (Other),FALSE
Rice Options,Rice with Chicken & Yogurt,Apple,Fish Biscuits,
,Rice with Eggs & Yogurt,Pear,Strawberry Bars,
,Rice with Paneer & Yogurt,Orange,Cake (store-bought),
,"Rice with Beans, Carrot & Yogurt ",Banana,Bread Rolls,
,Dal Khichdi and greek yogurt,Strawberry,Idli or Dosa Slices,
Sandwiches,"Cheese Sandwich with Spinach, Broccoli, & Eggs ",Orange,Cheese Pops (Trader Joe's),
,Chicken Sandwich,Blueberry,Granola Bar,
,Pav Bhaji Cheese / Corn Cheese Sandwich ,Banana,Cheese Biscuits (Trader Joe's),
Pasta Options,Pasta Veg with Ketchup,Strawberry,Almond floor brownie bites,
,Mac and Cheese,Grapes,Chips,
,Tortellini Pasta (Trader Joe's),Apple,pretezels,
Pancake / Western,Veg Pancakes with Eggs and Syrup,Pear,Fish Biscuits,
,"Tacos with Cheese, Chicken or Beans ",Pear,Sheera,
,Chilla - Besan Pancakes,Orange,Strawberry Bars,
,French Toast Slices,Banana,Cake (store-bought),
,Waffles and Eggs or Chicken Nuggets,Strawberry,Bread Rolls,
,Bread Pizza Sticks (Air Fryer) and Chicken Cutlets,Grapes,Idli or Dosa Slices,
Chapati Options,Chapati/Thepla and Paneer,Apple,Cream Biscuits,
,Egg rolls,Apple,Bread and Jam Slices,
,Chapati Frankie,Pear,Bread and Jam Slices,
Chinese Options,Noodles (Millet from Costco) + Protein,Orange,Sweet kesari ,
,Noodles (Chings or Maggie) + Protein,Banana,Cheese Pops (Trader Joe's),
,"Asian Fried Rice (Soy, Ketchup, Sweet/Spicy Chili) + Protein ",Strawberry,Cheese Biscuits (Trader Joe's),
Other,Sheet Pan Eggs,Grapes,Almond floor brownie bites,